molecule_name,packed_number,attempted_number
int_0__tdcB,0,0
int_0__exuR,0,0
int_0__adhP,0,0
int_0__slyD,0,36
int_0__slyA,0,0
int_0__ycfH,0,0
int_0__cedA,0,0
surf_0__ybhL,0,2
int_0__ubiX,0,0
int_0__ubiE,0,2
int_0__lon,0,2
int_0__ubiG,0,2
int_0__psd,0,1
int_0__ubiC,0,0
int_0__rsfS,0,1
int_0__maeB,0,1
int_0__maeA,0,0
int_0__ubiI,0,1
int_0__ubiH,0,0
int_0__ubiJ,0,0
int_0__rspR,0,0
int_0__nfsB,0,3
int_0__yifE,8,8
int_0__nfsA,0,1
surf_0__yifK,0,0
surf_0__ypfJ,0,1
int_0__glcC,0,0
int_0__betB,0,0
int_0__grcA,0,1
surf_0__glpG,0,0
int_0__suhB,0,2
int_0__deaD,0,1
int_0__yajQ,0,11
int_0__yedF,0,1
int_0__yghA,0,0
int_0__katE,0,0
int_0__rplU,0,11
int_0__rplT,0,4
int_0__rplW,0,2
int_0__rplV,0,82
int_0__rplQ,0,29
int_0__rplP,0,55
int_0__rplS,9,9
int_0__rplR,0,9
surf_0__yqeG,0,0
int_0__rplY,0,34
int_0__rplX,0,83
surf_0__yebE,0,1
int_0__rplE,0,51
int_0__rplD,1,29
int_0__coaD,0,1
int_0__rplF,0,31
int_0__rplA,0,48
int_0__rplC,0,26
int_0__rplB,0,18
int_0__rplM,0,44
int_0__rplL,0,79
int_0__rplO,0,10
int_0__rplN,0,11
int_0__rplI,0,57
int_0__rplK,0,0
int_0__rplJ,0,60
int_0__proV,0,0
int_0__proQ,0,4
int_0__hycA,0,0
int_0__proS,0,6
int_0__deoR,0,0
int_0__yecA,0,0
int_0__proA,0,1
int_0__proB,0,0
int_0__proC,0,0
int_0__deoC,0,1
int_0__deoB,0,4
int_0__poxB,0,0
int_0__pflA,0,0
int_0__pflC,0,0
int_0__pflB,0,6
int_0__ompR,0,1
int_0__yceH,0,1
int_0__cmoM,0,0
int_0__cmoB,0,0
int_0__cmoA,0,0
int_0__mrp,0,2
int_0__mrr,0,1
surf_0__dgkA,0,1
int_0__glpD,0,9
int_0__glpE,0,0
int_0__glpB,0,0
int_0__glpC,0,0
int_0__glpA,0,1
int_0__dksA,0,9
int_0__glpK,0,8
int_0__dicA,0,0
surf_0__prc,0,6
int_0__racR,0,0
int_0__azoR,0,2
int_0__glpX,0,0
int_0__ldcA,0,0
int_0__alr,0,0
int_0__ytfP,0,2
int_0__yrfG,0,1
surf_0__copA,1,36
int_0__epd,0,1
int_0__cusR,0,1
int_0__fruB,0,0
int_0__flxA,0,0
int_0__nrdR,0,0
int_0__lysA,0,1
int_0__fruK,0,0
int_0__nrdI,0,0
int_0__nrdH,0,0
int_0__lysS,0,3
int_0__nrdB,0,1
int_0__nrdA,0,0
int_0__nrdF,0,0
int_0__nrdE,0,0
int_0__nrdD,0,1
int_0__puuR,0,0
int_0__tam,0,0
int_0__puuC,0,0
int_0__mioC,0,6
int_0__tas,0,1
int_0__yigL,0,1
int_0__yigI,0,2
int_0__yigA,0,0
int_0__yigB,0,1
int_0__gstA,0,1
int_0__gstB,1,1
int_0__yqeF,0,0
int_0__csrA,0,3
surf_0__djlA,0,0
int_0__fabG,0,6
int_0__trpS,0,4
int_0__trpR,0,0
int_0__evgA,0,1
int_0__fabD,0,0
int_0__ycbX,0,1
int_0__trpA,0,6
int_0__dld,0,0
int_0__trpB,0,5
surf_0__kch,0,0
int_0__grpE,1,8
int_0__srmB,0,0
int_0__cfa,0,0
int_0__ycbZ,0,0
int_0__purU,0,3
surf_0__mreC,0,1
int_0__yaaA,0,1
surf_0__flhA,0,1
int_0__paaY,0,0
int_0__paaX,0,0
int_0__paaZ,0,0
surf_0__rstB,0,0
int_0__rclA,0,0
int_0__paaK,0,0
int_0__paaJ,0,0
surf_0__ghxP,0,1
int_0__paaA,0,0
int_0__dps,0,3
int_0__paaB,0,0
int_0__paaE,0,0
int_0__lplA,0,0
int_0__aroB,0,1
int_0__prlC,0,2
int_0__mltG,0,0
surf_0__rodZ,1,11
int_0__galF,0,6
int_0__galE,1,1
int_0__tig,0,38
surf_0__sbmA,0,0
int_0__galK,0,1
int_0__narG,0,0
int_0__galU,0,3
int_0__galT,0,0
int_0__galR,0,1
int_0__narL,0,1
int_0__narJ,0,0
int_0__narH,0,0
surf_0__gntT,0,0
surf_0__minD,1,30
int_0__rdgB,0,0
int_0__ycgL,0,0
int_0__ycgM,0,0
int_0__rho,0,5
int_0__yddE,0,1
int_0__ycgR,0,1
int_0__yrdA,0,2
int_0__yniA,0,0
int_0__rpmJ,0,2
int_0__rpmH,0,19
int_0__nanA,0,0
int_0__roxA,0,1
int_0__rpmB,0,12
int_0__rpmC,0,71
int_0__rpmA,0,35
int_0__rpmF,0,46
int_0__rpmG,0,28
int_0__rpmD,0,17
int_0__rpmE,0,16
int_0__nanR,0,0
int_0__ridA,0,11
int_0__gloC,0,1
int_0__gloB,0,1
int_0__gloA,2,2
int_0__sodA,0,0
int_0__sodB,0,9
int_0__aceA,0,23
int_0__aceB,0,4
surf_0__manZ,0,1
surf_0__manY,0,2
surf_0__adeP,0,0
int_0__tsaC,0,0
int_0__tsaB,0,0
int_0__tsaE,0,1
int_0__tsaD,0,0
int_0__yeeN,0,2
int_0__ygiB,0,0
int_0__ygiC,0,0
int_0__ygiF,0,0
int_0__ackA,0,6
int_0__mukB,0,2
int_0__mukE,0,0
int_0__mukF,0,0
int_0__rhlE,0,0
int_0__rhlB,0,1
int_0__hscA,0,1
int_0__amyA,0,0
int_0__pspA,2,2
int_0__iraP,0,0
int_0__putA,0,0
int_0__yggU,0,0
int_0__chbB,0,0
int_0__melA,0,0
int_0__pheS,0,4
int_0__pheT,0,4
int_0__mqo,0,0
int_0__ratA,0,0
int_0__ratB,0,0
int_0__aroC,0,1
int_0__pheA,0,1
int_0__aroA,0,3
int_0__aroG,10,10
int_0__aroF,0,2
int_0__aroE,0,0
int_0__aroD,0,0
int_0__aroK,0,5
int_0__aroH,0,1
int_0__aroL,0,2
surf_0__treB,0,1
int_0__ltaE,0,0
int_0__rpsP,0,108
int_0__ruvB,0,0
int_0__yafV,0,0
int_0__srlB,0,0
int_0__ruvA,0,0
int_0__srlD,0,0
int_0__can,0,8
int_0__udp,0,3
int_0__srlR,0,0
int_0__udk,0,0
int_0__yafC,0,0
int_0__yafJ,0,0
int_0__yfcH,0,0
int_0__cutC,0,0
int_0__yfcN,0,0
int_0__yfcL,0,2
int_0__yfcF,0,0
int_0__yfcE,0,1
int_0__yfcD,0,2
int_0__yfcZ,0,2
int_0__ybaB,0,11
int_0__sdhB,0,4
int_0__sdhA,0,3
int_0__flgM,0,2
int_0__flgN,0,2
int_0__hupB,0,79
int_0__metC,0,1
int_0__hmp,0,0
int_0__rpsG,0,98
int_0__trpGD,0,1
int_0__ybaK,0,1
int_0__rpsB,0,50
int_0__metF,5,5
int_0__rpsL,1,6
surf_0__fetA,1,1
int_0__metK,0,16
int_0__rpsO,0,65
int_0__rpsH,0,26
int_0__rpsI,0,9
int_0__metN,0,1
int_0__yidA,0,1
int_0__yidB,0,0
int_0__nfuA,0,5
surf_0__yidC,0,7
int_0__yidR,0,0
int_0__yqjG,0,0
int_0__deoD,0,5
int_0__yqjH,0,0
int_0__greA,0,4
int_0__parE,0,0
int_0__gpmI,0,4
int_0__yebC,0,1
int_0__gpmA,0,18
int_0__gpmB,0,0
